,eventid,iyear,country,country_txt,region,region_txt,summary,motive,addnotes,scite1,scite2,scite3
8042,200901010001,2009,182,Somalia,11,Sub-Saharan Africa,"01/01/2009: On Thursday, an unknown number of al Shabaab insurgents attacked AU peacekeepers using mortars killing at least eight people and wounding at least 10 near the KM4 and Bakara market.",The specific motive for the attack is unknown.,"The most recent available sources listed the fatalities for this attack from two to eight, so the majority casualty figures have been used in order to preserve statistical accuracy in the database.","Africa News, ""Somalia; Eight Killed as Insurgents Attack AU Peacekeepers,"" LexisNexis Academic, Africa News, January 1, 2009.","All Africa, ""Somalia: Eight Killed as Insurgents Attack African Union Peacekeepers,"" http://allafrica.com/stories/200901020117.html (January 1, 2009).","David Clarke, ""Insurgents in Mogadishu Attack AU Peacekeepers,"" Reuters, February 17, 2010."
8043,200901010003,2009,95,Iraq,10,Middle East & North Africa,"01/01/2009: On Thursday evening at about 1700, in eastern Mosul, Ninawa, Iraq, in a drive-by shooting, assailants fired upon and killed an off-duty Facilities Protection Service guard. There was no damage or motive reported and no group claimed responsibility.",The specific motive for the attack is unknown.,,"Reuters: alertnet.org, ""Factbox - Security Developments in Iraq, Jan 1,"" http://www.alertnet.org/thenews/newsdesk/ANS143782.htm (January 01, 2009)","aswataliraq.info: Voice of Iraq, ""Policeman down in eastern Mosul,"" http://en.aswataliraq.info/?p=105614 (January 01, 2009)","National Counterterrorism Center, ""One Paramilitary Member Killed in Armed Attack in Mosul, Ninawa, Iraq ,"" Worldwide Incidents Tracking System (February 15, 2010)."
8044,200901010004,2009,95,Iraq,10,Middle East & North Africa,"01/01/2009: On Thursday, in Kirkuk, Ta'mim, Iraq, Brig. Kawa Ghareeb, the director of the Kirkuk Police Academy, survived an attempt on his life when a sticky IED attached to his vehicle detonated in central Kirkuk. There were no casualties or damage reported and no group claimed responsibility.",The specific motive for the attack is unknown.,,"aswataliraq.info: Voice of Iraq, ""Police Academy chief escapes attempt on his life,"" http://en.aswataliraq.info/?p=105627 (January 01, 2009)",,
8045,200901010005,2009,95,Iraq,10,Middle East & North Africa,"01/01/2009: On Thursday, in Mendli, Diyala, Iraq, three civilians were wounded when an improvised explosive device went off near their car in the Nada region. The blast damaged the car and no group has claimed responsibility.",The specific motive for the attack is unknown.,,"aswataliraq.info: Voice of Iraq, ""IED injures 3 civilians in Diala,"" http://en.aswataliraq.info/?p=105599 (January 01, 2009)",,
8046,200901010011,2009,155,West Bank and Gaza Strip,10,Middle East & North Africa,"01/01/2009: On Thursday, on the main road near Beit Ummer, north of Hebron, West Bank and Gaza Strip, an explosive charge was hurled at a settler bus. No casualties were reported. The amount of damage caused is unknown. No claims of responsibility have been made.",The specific motive for the attack is unknown.,,"Ma'an News Agency, ""Explosive Device Tossed at Settler Bus Near Hebron; No Injuries,"" http://www.maannews.net/en/index.php?opr=ShowDetails&ID=34483 (January 01, 2009).",,
8047,200901010012,2009,92,India,6,South Asia,"01/01/2009: On Thursday afternoon at 1425, the first bomb of a series of three bomb attacks occurred in a market place in Birubari area of Guwahati, Assam, India. The bomb was planted in a GMC garbage bin near the Assam Association of the Deaf office and used steel ball bearings. The second bombing occurred at 1725 at a marketplace in the Bootnath area. The third bombing occurred at 1740 at a marketplace in Bhangagarh. The two bombs were attached to bicycles and were packed with steel balls. The combined casualties of all the attacks are five dead and 50 wounded. Two of the deceased were identified as Amal Das (45) and Kohil Sheikh (7). A shop, a market and the garbage dumpster were damaged in the attack. Police said the serial blasts took place as Indian Home Minister P. Chidambaram was on an official visit to Guwahati to review security in India's restive northeast. A senior security official said that one of the bombs went off near the route the home minister was scheduled to take. Police suspect the United Liberation Front of Assam (ULFA) to be responsible. No group claimed responsibility.",The specific motive for the attack is unknown.,"This was one of three related attacks (cf. 200901010013 and 200901010014). The available sources listed the fatalities for these attacks cumulatively as five, and the injuries for these attacks cumulatively as 50, so these figures have been distributed evenly for these cases in order to preserve statistical accuracy in the database. Furthermore, it is unknown if the dumpster was the intended target of this attack.","South Asia Terrorism Portal, ""ULFA Triggered Serial Bomb Blasts Kill Five Persons and Injure 50 Others in Assam,"" http://www.satp.org/satporgtp/detailed_news.asp?date1=1/2/2009#1 (Januray 02, 2009).","Zarir Hussain, Agence France Presse, ""Serial Blasts in India's Northeast Kill Five: Police,"" LexisNexis Academic, Januray 01, 2009.","National Counterterrorism Center, ""One Child, Five Civilians Killed, 50 Civilians Wounded in Bombing by Suspected ULFA in Kamrup, Assam, India,"" Worldwide Incidents Tracking System, December 03, 2009."
8048,200901010013,2009,92,India,6,South Asia,"01/01/2009: On Thursday evening at 1725, the second bomb of a series of three bomb attacks occurred in a market place in Bhootnath area of Guwahati, Assam, India. The bomb was attached to a bicycle and used steel ball bearings. The first bombing occurred at 1425 in a GMC garbage dumpster in Birubari, Guwahati near the Assam Association of the Deaf office. The third bombing occurred at 1740 at a marketplace in Bhangagarh. The bomb was also attached to a bicycle and used steel ball bearings. The combined casualties of all the attacks are five dead and 50 wounded. Two of the deceased were identified as Amal Das (45) and Kohil Sheikh (7). A shop, a market and the garbage dumpster were damaged in the attack. Police said the serial blasts took place as Indian Home Minister P. Chidambaram was on an official visit to Guwahati to review security in India's restive northeast. A senior security official said that one of the bombs went off near the route the home minister was scheduled to take. Police suspect the United Liberation Front of Assam (ULFA) to be responsible. No group claimed responsibility.",The specific motive for the attack is unknown.,"This was one of three related attacks (cf. 200901010012 and 200901010014). The available sources listed the fatalities for these attacks cumulatively as five, and the injuries for these attacks cumulatively as 50, so these figures have been distributed evenly for these cases in order to preserve statistical accuracy in the database.","South Asia Terrorism Portal, ""ULFA Triggered Serial Bomb Blasts Kill Five Persons and Injure 50 Others in Assam,"" http://www.satp.org/satporgtp/detailed_news.asp?date1=1/2/2009#1 (Januray 02, 2009).","Zarir Hussain, Agence France Presse, ""Serial Blasts in India's Northeast Kill Five: Police,"" LexisNexis Academic, Januray 01, 2009.","National Counterterrorism Center, ""One Child, Five Civilians Killed, 50 Civilians Wounded in Bombing by Suspected ULFA in Kamrup, Assam, India,"" Worldwide Incidents Tracking System, December 03, 2009."
8049,200901010014,2009,92,India,6,South Asia,"01/01/2009: On Thursday evening at 1740, the third bomb of a series of three bomb attacks occurred near a road in Bhangagarh area of Guwahati, Assam, India. The first bombing occurred at 1425 in a GMC garbage bin near the Assam Association of the Deaf office and used steel ball bearings. The second bombing occurred at 1725 at a marketplace in the Bootnath area. The bomb was also attached to a bicycle and used steel ball bearings. The combined casualties of all the attacks are five dead and 50 wounded. Two of the deceased were identified as Amal Das (45) and Kohil Sheikh (7). A shop, a market and the garbage dumpster were damaged in the attack. Police said the serial blasts took place as Indian Home Minister P. Chidambaram was on an official visit to Guwahati to review security in India's restive northeast. A senior security official said that one of the bombs went off near the route the home minister was scheduled to take. Police suspect the United Liberation Front of Assam (ULFA) to be responsible. No group claimed responsibility.",The specific motive for the attack is unknown.,"This was one of three related attacks (cf. 200901010012 and 200901010013). The available sources listed the fatalities for these attacks cumulatively as five, and the injuries for these attacks cumulatively as 50, so these figures have been distributed evenly for these cases in order to preserve statistical accuracy in the database.","South Asia Terrorism Portal, ""ULFA Triggered Serial Bomb Blasts Kill Five Persons and Injure 50 Others in Assam,"" http://www.satp.org/satporgtp/detailed_news.asp?date1=1/2/2009#1 (Januray 02, 2009).","Zarir Hussain, Agence France Presse, ""Serial Blasts in India's Northeast Kill Five: Police,"" LexisNexis Academic, Januray 01, 2009.","National Counterterrorism Center, ""One Child, Five Civilians Killed, 50 Civilians Wounded in Bombing by Suspected ULFA in Kamrup, Assam, India,"" Worldwide Incidents Tracking System, December 03, 2009."
8050,200901010017,2009,153,Pakistan,6,South Asia,"01/01/2009: On Thursday, Taliban militants fired six rockets on government offices in Khar, Federally Administered Tribal Areas, Pakistan. Four civilians were killed and 16 were injured.",The specific motive for the attack is unknown.,,"South Asia Terrorism Portal, ""Four Civilians Killed in Taliban Rocket Attacks in Bajaur Agency,"" http://satp.org/satporgtp/detailed_news3.asp?date3=2009%2F1%2F2#2 (January 2, 2009).","National Counterterrorism Center, ""Four Civilians Killed, Sixteen Others Wounded in Rocket Attack by Suspected Taliban in Bajaur, Federally Administered Tribal Areas, Pakistan,"" Worldwide Incidents Tracking System, December 4, 2009.","Agence France Presse, ""Militant Rockets Kill Four in Northwest Pakistan, Says Official,"" LexisNexis Academic, Agence France Presse, January 1, 2009."
8051,200901010018,2009,153,Pakistan,6,South Asia,"01/01/2009: On Thursday, Taliban militants executed an alleged kidnapper in public in Kurram, FATA, Pakistan. The method of execution was hanging.",The specific motive for the attack is unknown.,,"South Asia Terrorism Portal, ""Taliban Execute ""Kidnapper' in Kurram Agency,"" http://satp.org/satporgtp/detailed_news3.asp?date3=2009%2F1%2F2#2 (January 2, 2009).","Dawn (Pakistan), ""Taliban Execute Kidnapper,"" Dawn (Pakistan), January 2, 2009, http://www.dawn.com/2009/01/02/top13.htm.",
8052,200901010019,2009,153,Pakistan,6,South Asia,"01/01/2009: On Thursday, militants took three civilians hostage who were accused of spying for the United States in North Waziristan, Federally Administered Tribal Areas, Pakistan. The body of one civilian was found hanging upside down in a tree. The two other bodies were found on a road side covered in bullet wounds on 01/05/2009. Notes left with the bodies state that the men were spies for the United States. No group claimed responsibility, though its believed that the Taliban were responsible.",The motive was the men were suspected of being spies for the United States.,,"Jane's Intelligence, ""Pro-Taliban Militants Kill Civilians In Pakistan's FATA,"" Terrorism Watch Report, January 07, 2009.","Hong Kong Agence France Presse, ""AFP: Pakistan Official Says Taliban Executed 3 Alleged US Spies in Tribal Area,"" World News Connection, Hong Kong Agence France Presse, January 05, 2009.",
8053,200901010020,2009,160,Philippines,5,Southeast Asia,"01/01/2009: On Thursday, armed militants fired at a passenger jeep in Inagongan village, Tagoloan town, Lanao del Norte province, injuring six civilians. No group claimed responsibility, although the Moro Islamic Liberation Front was suspected to be responsible.",The specific motive for the attack is unknown.,,"GMA News, ""Six Hurt in Lanao del Norte Strafing - Report,"" http://www.gmanews.tv/story/142104/6-hurt-in-Lanao-del-Norte-strafing---report# (January 1, 2009).",,
8054,200901010028,2009,141,Nepal,6,South Asia,"01/01/2009: On Thursday afternoon at about 1300, in Sundhara area, Kathmandu, Nepal, assailants detonated a bomb, wounding one Indian child. Bimal Kumar Gupta (16), was selling his garments when the bomb exploded near the Kathmandu Mall in front of the post office, injuring his left leg. The bomb was reportedly concealed in a white plastic bag. Gupta was admitted to Bir Hospital for treatment. The blast did not cause any damage to the property. Ranbir Sena claimed responsibility. According to police, a pamphlet of the group was recovered from the blast site. The police said three people were detained for questioning.",The specific motive for the attack is unknown.,,"Press Trust of India, ""Indian Boy Injured in Kathmandu Blast,"" LexisNexis Academic, Press Trust of India, January 01, 2009.","Arun Kumar, Indo-Asian News Service, ""Indian Teenager Wounded in Kathmandu Blast ,"" LexisNexis Academic, HT Syndication, January 01, 2009.","National Counterterrorism Center, ""One Child Wounded in Bombing by Ranbir Sena in Kathmandu, Nepal,"" Worldwide Incidents Tracking System, December 02, 2009."
8055,200901010029,2009,97,Israel,10,Middle East & North Africa,"01/01/2009: On Thursday evening, in Sederot, Southern District, Israel, assailants fired eight Muqawamah-type rockets and four mortars at communities and a military base, causing no injuries or damage.  National Resistance Brigades claimed responsibility.",The specific motive for the attack is unknown.,,"British Broadcasting Company, ""Palestinian Killed in IDF Attack; Groups Fire at Israel,"" LexisNexis Academic, BBC Monitoring Middle East, January 2nd, 2009.","National Counterterrorism Center, ""Military Base and Communities Targeted in Armed Attack by National Resistance Brigades in Southern District, Israel,"" Worldwide Incidents Tracking System, November 23rd, 2009.",
8056,200901010030,2009,97,Israel,10,Middle East & North Africa,"01/01/2009: On Thursday evening, in Ashqelon, Southern District Israel, assailants fired eight Muqawamah-type rockets and four mortars at communities and a military base, causing no injuries or damage. National Resistance Brigades claimed responsibility.",The specific motive for the attack is unknown.,,"British Broadcasting Company, ""Palestinian Killed in IDF Attack; Groups Fire at Israel,"" LexisNexis Academic, BBC Monitoring Middle East, January 2nd, 2009.","National Counterterrorism Center, ""Military base and communities targeted in armed attack by National Resistance Brigades in Southern District, Israel,"" Worldwide Incidents Tracking System, November 23rd, 2009.",
8057,200901010032,2009,97,Israel,10,Middle East & North Africa,"01/01/2009: On Thursday evening, in Sa'ad, Southern District, Israel, assailants fired eight Muqawamah-type rockets and four mortars at communities and a military base, causing no injuries or damage.  National Resistance Brigades claimed responsibility.",The specific motive for the attack is unknown.,,"British Broadcasting Company, ""Palestinian Killed in IDF Attack; Groups Fire at Israel,"" LexisNexis Academic, BBC Monitoring Middle East, January 2nd, 2009.","National Counterterrorism Center, ""Military Base and Communities Targeted in Armed Attack by National Resistance Brigades in Southern District, Israel,"" Worldwide Incidents Tracking System, November 23rd, 2009.",
8058,200901010033,2009,97,Israel,10,Middle East & North Africa,"01/01/2009: On Thursday evening, near Nahal 'Oz, Southern District, Israel, assailants fired eight Muqawamah-type rockets and four mortars at communities and a military base, causing no injuries or damage.  National Resistance Brigades claimed responsibility.",The specific motive for the attack is unknown.,,"British Broadcasting Company, ""Palestinian Killed in IDF Attack; Groups Fire at Israel,"" LexisNexis Academic, BBC Monitoring Middle East, January 2nd, 2009.","National Counterterrorism Center, ""Military Base and Communities Targeted in Armed Attack by National Resistance Brigades in Southern District, Israel,"" Worldwide Incidents Tracking System, November 23rd, 2009.",
8059,200901010035,2009,4,Afghanistan,6,South Asia,"01/01/2009: On Thursday, in Kabul, Kabul, Afghanistan assailants fired on a former mayor from Vardak Province, wounding several security guards.  The former mayor, Anayatullah Rasooli, was not injured.  No group claimed responsibility.",The specific motive for the attack is unknown.,,"Pajhwok Afghan News, ""Former Wardak Mayor Escapes Life Attempt,"" Pajhwok Afghan News,  January 1, 2009.","National Counterterrorism Center, ""Several Security Guards Wounded in Armed Attack in Kabul, Kabul, Afghanistan,"" Worldwide Incidents Tracking System, January 1, 2009.",
