,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property
12,Al-Qaida in Iraq,840.0,killing 90,Middle East & North Africa,Iraq,"Two bombs, attached to two mentally disabled women, were detonated in a crowded marketplace in Baghdad, Iraq, killing 90 people and injuring 130. Although it has not claimed responsibility for the attack, al-Qaida is suspected.",2008/2/1,90.0,130.0,0
21,Al-Qaida in Iraq,675.0,suicide bomber,Middle East & North Africa,Iraq,"At least 55 people were killed as a double bomb attack in a commercial city took place in Baghdad, Iraq.  The first bomb was roadside device that detonated in a busy market in the central neighborhood of Karada.  Five minutes later, a suicide bomber blew himself up in a middle of a crowd that was gathering to help the victims of the first attack.  One hundred and thirty others were injured all together. Al-Qa'ida in Iraq is being blamed for the incident.",2008/3/6,56.0,130.0,1
132,Islamic State of Iraq (ISI),640.0,suicide bomber,Middle East & North Africa,Iraq,"On Thursday afternoon, at 1350, in Kirkuk, At Ta'mim, Iraq, a suicide bomber detonated his explosives vest and killed at least 55 people and wounded 120 in a packed restaurant where Kurdish officials and Arab tribal leaders were trying to reconcile their differences over control of the oil-rich region. After arrests were made, those arrested confessed to the attack and claimed responsibility for the Islamic State of Iraq.",2008/12/11,56.0,120.0,-9
93,Kurdistan Workers' Party (PKK),552.0,officials continually,Middle East & North Africa,Turkey,"On Sunday, two bombs exploded minutes apart in one of Istanbul's busy shopping districts on the European side.  Though the Kurdistan Workers Party denied responsibility for the attack, officials continually accuse them of direct involvement.",2008/7/27,17.0,154.0,1
55,Al-Qaida in Iraq,455.0,least 42,Middle East & North Africa,Iraq,"On Tuesday, a car bomb killed at least 42 people and wounded 80 others outside a courthouse in the central city of Baquba, Diyala, Iraq at approximately 1115.  U.S. military blames al Qaeda for the bombing, although there were no claims of responsibility.",2008/4/15,42.0,80.0,1
91,Islamic State of Iraq (ISI),335.0,iraqi army,Middle East & North Africa,Iraq,"On Tuesday, at 800, in eastern Ba'qubah, Diyala, Iraq, two suicide bombers detonated improvised explosive devices near a crowd of civilians waiting to enlist outside the Iraqi Army recruitment center at Saad military base, killing 33 civilians and wounding between 55 and 69 others. The second suicide bomber detonated his explosives shortly after the first attack as first responders attempted to help the injured. One suicide bomber wore an Iraqi Army uniform and the second was dressed in civilian clothes. No group claimed responsibility, although it was widely believed the Islamic State of Iraq (ISI) was responsible for the attack.",2008/7/15,33.0,55.0,1
102,Islamic State of Iraq (ISI),286.0,detention possibly,Middle East & North Africa,Iraq,"On Sunday, between 2000 and 2030, in Zaydan, Al Anbar, Iraq, a suicide bomber detonated an improvised explosive device near the home of a Sunni Sahwa Council leader who was holding a banquet celebrating the release of his son from the Camp Bucca detention center three days earlier, killing 19 Sahwa Council paramilitary members, 11 civilians, wounding up to 42 other people, and damaging the residence. Although no group claimed responsibility, guests reported that the son had argued with Islamic State of Iraq members while in detention possibly leading to this reprisal attack.",2008/8/24,31.0,42.0,1
3,Kurdistan Workers' Party (PKK),229.0,50 soldiers,Middle East & North Africa,Turkey,A car bomb targeting soldiers killed five people including two soldiers and wounded 68 in the Kurdish-dominated southeastern city of Diyarbakir in southern Turkey at about 5pm. A bus carrying about 50 soldiers on their way back to base blew up in a parking lot between a hotel and shopping mall when suspected Kurdish rebels of the Kurdish Workers Party (or PKK) detonated a remote-controlled car bomb inside a parked car. The attack damaged nearby buildings. It is suspected that the attack was in retaliation for three airstrikes by Turkish warplanes against Kurdish rebel shelters in northern Iraq last month.,2008/1/3,4.0,68.0,1
22,Palestinian Islamic Jihad (PIJ),75.0,wounding 10,Middle East & North Africa,Lebanon,"A Palestinian terrorist opened fire at Mercaz Harav Yeshiva in Jerusalem, killing eight students and wounding 10 others.  It happened at around 8:45pm.  The gunman fired rounds of ammunition into the library where 80 students gathered in the library to celebrate the Hebrew month of Adar II which begins that Friday.  IDF gunmen killed the gunman four minutes into the spree. Al-Quds Martyrs Brigade and the Martyrs of Imad Mughniyah took separate responsibility for the shooting attack. Hamas fighters claimed the shooting's motive was because of Israel's military operation in the coastal strip in which more than 100 Palestinians were killed.",2008/3/6,9.0,10.0,-9
65,Kurdistan Workers' Party (PKK),29.0,landmine exploded,Middle East & North Africa,Turkey,"On Friday, a remote controlled roadside landmine planted by suspected Kurdistan Workers Party militants went off in the town of Sason in Batman, Turkey, Turkey. The landmine exploded when a minibus carrying villagers passed by. Three people were killed and three others were injured.",2008/5/9,3.0,3.0,1
19,Palestinian Islamic Jihad (PIJ),20.0,two civilians,Middle East & North Africa,Lebanon,"An Israeli soldier was killed and three soldiers and two civilians were wounded when a bomb was detonated under their jeep while they were on a routine patrol on the Israeli side of Gaza near Kibbutz Ein Hashlosha, Israel.  The Islamic Jihad's, Al-Quds Brigade, claimed responsibility for the attack.",2008/3/6,1.0,5.0,-9
88,Palestinian Islamic Jihad (PIJ),17.0,wounding four,Middle East & North Africa,Lebanon,"On Tuesday, in Sederot, Southern District, Israel, Israel, assailants fired four rockets at communities, wounding four civilians and damaging a residence.  Al-Quds Brigades claimed responsibility.  This incident was one of two linked attacks in which the second rocket attack occurred in Shahar, Southern District, Israel.",2008/6/24,0.0,4.0,1
23,Popular Front for the Liberation of Palestine (PFLP),5.0,small leftist,Middle East & North Africa,Syria,"A Palestinian rocket, launched in Gaza by the small leftist group, the Popular Front for the Liberation of Palestine, hit an industrial zone of the port city of Ashkelon, Israel. However, the Israeli government held Hamas responsible for the attack since Hamas controls the Gaza Strip thus being responsible for any launching of rockets from that area. No one was injured or killed in the incident.",2008/3/11,0.0,0.0,1
125,Popular Front for the Liberation of Palestine (PFLP),3.0,wounding one,Middle East & North Africa,Syria,"On Saturday, in Sederot, Southern District, Israel assailants fired two rockets at a community, wounding one civilian and causing no reported damage.  Abu Ali Mustafa Brigades claimed responsibility.",2008/11/15,0.0,1.0,0
4,Popular Front for the Liberation of Palestine (PFLP),0.0,ongoing israeli,Middle East & North Africa,Syria,"Palestinian militants shot two Qassam rockets at western Negev.  The rockets exploded in an open field, causing no damage and not casualties.  The Martyr Abu-Ali Mustafa Brigades, the military arm of the Popular Front for the Liberation of Palestine, claimed responsibility for the attack, claiming that it was a response to the ongoing Israeli attacks against the Palestinian people.",2008/1/5,0.0,0.0,0
