,gname,score,keyword,gregion,gcountry,summary,date,nkill,nwound,property,country_txt,region_txt
178,Al-Shabaab,1011.0,shabaab claimed,Sub-Saharan Africa,Somalia,"On Tuesday, in Mogadishu, Banaadir, Somalia, at least 100 people were killed and more than 160 people were injured when a Somali national, Bashar Abdulahi Nur, detonated a suicide vehicle borne improvised explosive device (SVBIED) targeting the compound that houses several Somali government ministries. The SVBIED was made of a truck that had been loaded with drums of fuel. The attack caused an unknown amount of material damage. The militant group Al-Shabaab claimed responsibility for the attack by unknown means.",2011/10/4,101.0,167.0,1,Somalia,Sub-Saharan Africa
149,Boko Haram,368.0,boko haram,Middle East & North Africa,Iraq,"On Friday, in Abuja, Abuja Federal Capital Territory, Nigeria, 23 people were killed and 81 people were injured when suspected militant Mohammed Abul Barra detonated a suicide vehicle borne improvised explosive device that had been concealed inside a Honda Accord at the United Nations (UN) headquarters building. The attack caused a tremendous amount of material damage to the UN building and destroyed the Honda Accord. The car used in the bombing was registered in the Kano State. The UN claimed that no child died in the blast. The militant group Boko Haram claimed responsibility for the attack through a spokesman. On 08/31/2011, Nigeria's State Security Service released a statement in which it named Mamman Nur, a Boko Haram member with Al Qaeda links, who is suspected for masterminding the bombing. It was also reported in the statement that other two suspects, Babagana Ismail Kwaljima, also known as Abu Summary, and Babagana Mali, also known as Bulama, were arrested by State Security Service and were being held in a military facility.",2011/8/26,24.0,81.0,1,Nigeria,Sub-Saharan Africa
301,Boko Haram,361.0,explosion destroyed,Middle East & North Africa,Iraq,"Boko Haram claimed responsibility for the attack on St. Teresa Catholic Church in Madalla, Niger, Nigeria.  This attack was one of four that day.  A bomb exploded while the church was full of people for Christmas mass.  The explosion destroyed cars in the area and did major damage to the church itself.  In total, 37 people were killed and 57 were wounded.  A man named Kabiru Soko was arrested for his role in the bombing.",2011/12/25,37.0,57.0,1,Nigeria,Sub-Saharan Africa
100,Boko Haram,220.0,shot anyone,Middle East & North Africa,Iraq,"On Sunday afternoon at 1700, in Maiduguri, Borno, Nigeria, between 8 and 10 suspected Boko Haram members threw bombs and fired gun shots in the Dala Kabompi neighborhood at a beer garden. The assailants attacked from the back of seven motorcycles. The assailants set fire to a local bar, then shot anyone trying to escape. At least 25 civilians were killed and about 30 more were injured. Military sources suspect that three sets of explosives were used in the attack. The attack caused an unknown amount of property damage. No group claimed responsibility for the attack, however, Boko Haram was suspected.",2011/6/26,25.0,30.0,1,Nigeria,Sub-Saharan Africa
30,Al-Shabaab,205.0,improvised explosive,Sub-Saharan Africa,Somalia,"On Monday morning, in the Hamar Jajab area of Mogadishu, Banaadir, Somalia, seven policemen and eight civilians were killed and 35 people were injured when four militants detonated a suicide vehicle borne improvised explosive device targeting a police training camp. The improvised explosive device was planted in a small Toyota truck with oil barrels and was disguised as a civilian transportation vehicle. The police training building and several nearby cars were damaged in the attack and the militant group Al Shabaab claimed responsibility.",2011/2/21,19.0,35.0,1,Somalia,Sub-Saharan Africa
55,Al-Shabaab,155.0,militant group,Sub-Saharan Africa,Somalia,"On Tuesday, in Mogadishu, Banaadir, Somalia, at least four people were killed and more than 45 others were injured when unidentified militants fired mortars targeting the 51st Anniversary of Somali military forces celebration at the Villa Baidoa, a military base. It is unknown if the attack caused any property damage. No group claimed responsibility, but the militant group al-Shabaab was thought to be responsible for the attack.",2011/4/12,4.0,45.0,-9,Somalia,Sub-Saharan Africa
257,Movement of Democratic Forces of Casamance,55.0,specific motive,Sub-Saharan Africa,Senegal,"Suspected members of the Movement of Democratic Forces of Casamance killed eleven civilians near the village of Diagnon,  Ziguinchor Region, Senegal.  Approximately 24 villagers had gone to cut wood in the forest; eleven villagers were shot and killed when the suspected separatists attacked the group.  Specific motive behind the attack is unknown; however, members of the separatist group are believed to be taking a more predatory stance towards small communities in the area.",2011/11/21,11.0,0.0,0,Senegal,Sub-Saharan Africa
299,Movement of Democratic Forces of Casamance,47.0,five members,Sub-Saharan Africa,Senegal,"Members of the Casesmance Movement of Democratic Forces (MFDC) attacked a military outpost in the district of Dirgiune in Senegal.  The attack occurred at dawn.  Five members of the MFDC and one soldier were killed.  During the attack, military reinforcements on their way to assist the outpost were attacked by MFDC members using RPG's.  Their vehicle then crashed into a home.  The result of this portion of the event is that four soldiers and two civilians were killed, and four soldiers were wounded.",2011/12/20,7.0,4.0,-9,Senegal,Sub-Saharan Africa
33,Lord's Resistance Army (LRA),40.0,group claimed,Sub-Saharan Africa,Uganda,"On Thursday morning, in the village of Banangana in unknown area of Kasai Oriental, Congo (Kinshasa), eight people were killed when unidentified militants attacked civilians in the village with unknown firearms. The militants also kidnapped 30 civilians in the attack. No damage was reported and no group claimed responsibility, but the militant group Lords Resistance Army was thought to be responsible for the attack. The status of the hostages is unknown.",2011/2/24,8.0,0.0,0,Democratic Republic of the Congo,Sub-Saharan Africa
41,Lord's Resistance Army (LRA),30.0,unidentified militants,Sub-Saharan Africa,Uganda,"On Sunday, in Nzako, Mbomou, Central African Republic, six people were killed when unidentified militants attacked the town with unknown firearms. The militants also kidnapped 30 people and took them to an unknown location. The status of the hostages is unknown. It is unknown if the attack caused any property damage. No group claimed responsibility, but the militant group Lords Resistance Army (LRA) was thought to be responsible for the attack.",2011/3/13,6.0,0.0,-9,Central African Republic,Sub-Saharan Africa
