pub_date,keyword_name,keyword_value,word_count,score,headline_main
 2001-10-02T00:00:00Z,glocations,NEWYORKCITY,2033,0.0,Experts  Call  for  Better  Assessment  of  Threats 
 2001-12-31T00:00:00Z,glocations,NEWYORKCITY,700,0.0,In  a  Town  Built  Almost  Entirely  on  Tourism,  Business  Booms 
 2001-12-31T00:00:00Z,glocations,NEWYORKCITY,826,0.0,Words  Fail,  Memory  Blurs,  Life  Wins 
 2001-12-30T00:00:00Z,glocations,NEWYORKCITY,1035,0.0,Anchors  Mattered  Again,  and  'Survivor'  Didn't 
 2001-12-30T00:00:00Z,glocations,NEWYORKCITY,825,0.0,Finding  Solace  in  Two  Hounds'  Tales 
 2001-12-30T00:00:00Z,glocations,NEWYORKCITY,621,0.0,For  Some,  Lives  in  the  Shadows  Ended  in  Attack,  Indiscernibly 
 2001-12-30T00:00:00Z,glocations,NEWYORKCITY,998,0.0,Security  Technology,  With  an  Eye  on  a  Slice  of  the  Sky  Marshal  Pie 
 2001-12-30T00:00:00Z,glocations,RUSSIA,1037,0.0,Ballroom  Dancing  With  a  Russian  Flair 
 2001-12-30T00:00:00Z,glocations,NEWYORKCITY,1438,0.0,Out  With  the  Old,  and  Not  a  Moment  Too  Soon 
 2001-12-29T00:00:00Z,glocations,NEWYORKCITY,1259,0.0,Reporters  in  Afghanistan:  Fear,  Numbness  and  Being  a  Spectacle 
 2001-12-29T00:00:00Z,glocations,NEWYORKCITY,581,0.0,U.S.  Arabs,  Spurred  On  By  Inquiry,  Set  Museum 
 2001-12-28T00:00:00Z,glocations,CHINA,1297,0.0,In  Shift,  Chinese  Carry  Out  Executions  by  Lethal  Injection 
 2001-12-27T00:00:00Z,glocations,ACEHPROVINCE(INDONESIA),799,0.0,Editorial  Observer;  A  Guerrilla  War  Stoked  by  a  Thirst  for  Cash 
 2001-12-27T00:00:00Z,glocations,NEWYORKCITY,925,0.0,A  Nation  Challenged 
 2001-12-26T00:00:00Z,glocations,NEWYORKCITY,956,0.0,On  Display,  Once  Again,  Artifacts  of  Police  Past 
 2001-12-26T00:00:00Z,glocations,AFGHANISTAN,939,0.0,A  Nation  Challenged 
 2001-12-26T00:00:00Z,glocations,AFGHANISTAN,749,0.0,A  Muted  Christmas,  Corporate  Obligations,  the  Anthrax  Mystery 
 2001-12-26T00:00:00Z,glocations,NEWYORKCITY,1536,0.0,Families  of  Victims  Fault  Benefits  Plan  Of  Insurance  Giant 
 2001-12-25T00:00:00Z,glocations,NEWYORKCITY,732,0.0,Britain  Gives  Suspect  Ship  Off  Sussex  A  Clean  Bill 
 2001-12-24T00:00:00Z,glocations,NEWYORKCITY,1755,0.0,Among  the  Poor,  Sympathy  for  the  Families  of  Sept.  11 
 2001-12-24T00:00:00Z,glocations,NEWYORKCITY,1219,0.0,In  a  Rugged  Military  Town,  a  Lonely  Christmas 
 2001-12-24T00:00:00Z,glocations,NEWYORKCITY,785,0.0,The  Shouting  Above  the  Din  at  Moran's  Heralds  a  Bar  Returning  to  Normal 
 2001-12-23T00:00:00Z,glocations,NEWYORKCITY,892,0.0,Ideas  &  Trends;  Armageddon  Again:  Fear  in  the  50's  and  Now 
 2001-12-23T00:00:00Z,glocations,NEWYORKCITY,1597,0.0,Downtown  Is  Slower  to  Embrace  Optimism;  Uneasiness  and  Worries  Persist  for  Many  Residents  and  Workers 
 2001-12-23T00:00:00Z,glocations,NEWYORKCITY,2546,0.0,Leaping  From  One  Void  Into  Others 
 2001-12-22T00:00:00Z,glocations,AFGHANISTAN,1165,0.0,A  Nation  Challenged 
 2001-12-22T00:00:00Z,glocations,NEWYORKCITY,0,0.0,A  Perspective  on  Terror 
 2001-12-21T00:00:00Z,glocations,NEWYORKCITY,605,0.0,Lehman  Profit  Drops  67%,  Hammered  by  Sept.  11  Disruption 
 2001-12-21T00:00:00Z,glocations,NEWYORKCITY,1514,0.0,The  Silence  of  the  Alert  System;  Experts  Urge  Overhaul  of  Plan  Unused  Even  on  Sept.  11 
 2001-12-21T00:00:00Z,glocations,RUSSIA,64,0.0,World  Briefing  |  Europe:  Russia:  Terror  Fears  Vs.  Free  Speech 
 2001-12-20T00:00:00Z,glocations,NEWYORKCITY,866,0.0,Appeals  Court  Overturns  Policy  on  Detaining  Immigrants 
 2001-12-20T00:00:00Z,glocations,AFGHANISTAN,923,0.0,A  Nation  Challenged 
 2001-12-20T00:00:00Z,glocations,NEWYORKCITY,1411,0.0,Star-Spangled  or  Reflective,  Pop  Captures  the  Mood 
 2001-12-20T00:00:00Z,glocations,NEWYORKCITY,125,0.0,World  Briefing  |  Europe:  Czech  Republic:  Fears  Of  Terror  Attack 
 2001-12-20T00:00:00Z,glocations,NEWYORKCITY,748,0.0,Chapter  11  Filings  Point  Fingers  at  Sept.  11 
 2001-12-19T00:00:00Z,glocations,GREATBRITAIN,351,0.0,Global  Plan  To  Track  Terror  Funds 
 2001-12-19T00:00:00Z,glocations,AFGHANISTAN,731,0.0,The  Terrorism  War's  Next  Phase,  Old  Feuds  in  Kabul,  Aid  on  the  Way 
 2001-12-18T00:00:00Z,glocations,NEWJERSEY,439,0.0,Democratic  Lawmakers  Oppose  New  Spending  Near  Session's  End 
 2001-12-18T00:00:00Z,glocations,NEWYORKCITY,692,0.0,Liberty  Island  Will  Reopen,  But  With  Statue  Cordoned  Off 
 2001-12-18T00:00:00Z,glocations,AFGHANISTAN,1138,0.0,A  Nation  Challenged 
 2001-12-18T00:00:00Z,glocations,NEWYORKCITY,1465,0.0,A  School  Finds  Strength  in  a  Network  of  Grief 
 2001-12-17T00:00:00Z,glocations,NEWYORKCITY,112,0.0,Metro  Briefing  |  New  York:  Manhattan:  Aid  For  Gay  Terror  Victims 
 2001-12-16T00:00:00Z,glocations,TUNISIA,1020,0.0,The  World;  In  One  Muslim  Land,  an  Effort  To  Enforce  Lessons  of  Tolerance 
 2001-12-16T00:00:00Z,glocations,CANADA,954,0.0,Drug  Seizures  Have  Surged  At  the  Borders,  Officials  Say 
 2001-12-16T00:00:00Z,glocations,NEWYORKCITY,890,0.0,Dogs  of  Peace 
 2001-12-16T00:00:00Z,glocations,EGYPT,864,0.0,Its  Tourism  Suffering,  Egypt  Woos  Russians 
 2001-12-16T00:00:00Z,glocations,AFGHANISTAN,747,0.0,A  Nation  Challenged 
 2001-12-16T00:00:00Z,glocations,RUSSIA,1307,0.0,After  the  Thaw:  Sneakers  and  Cellphones 
 2001-12-15T00:00:00Z,glocations,NEWYORKCITY,739,0.0,Abroad  at  Home;  Hail  And  Farewell 
 2001-12-14T00:00:00Z,glocations,NEWYORKCITY,1245,0.0,Officials  Irked  as  Merchants  Cash  In  on  City's  Heroic  Logos 
 2001-12-14T00:00:00Z,glocations,ISRAEL,437,0.0,Palestinians  Petition  the  Security  Council 
 2001-12-13T00:00:00Z,glocations,AFGHANISTAN,1074,0.0,A  Nation  Challenged 
 2001-12-13T00:00:00Z,glocations,NEWYORKCITY,508,0.0,City  Has  Idea  (Think  Office  Buildings)  to  Stretch  Midtown  to  Far  West  Side 
 2001-12-12T00:00:00Z,glocations,NEWYORKCITY,925,0.0,Those  Who  Lost  Homes  or  Jobs  Are  to  Get  $2,500  Grants 
 2001-12-11T00:00:00Z,glocations,EUROPE,1113,0.0,North  Africans  in  Europe  Said  to  Preach  War,  Enlisting  Young  Immigrants 
 2001-12-11T00:00:00Z,glocations,NEWYORKCITY,1221,0.0,A  Shadow  of  Death  At  an  Airport  Hotel;  Dominicans  in  Queens  to  Claim  Relatives'  Bodies  After  Jet  Crash 
 2001-12-09T00:00:00Z,glocations,NEWYORKCITY,1104,0.0,United  They  Stood,  Briefly;  A  Town  That  Came  Together  in  Grief  Is  Divided  by  a  Strike 
 2001-12-09T00:00:00Z,glocations,NEWYORKCITY,816,0.0,Ideas  &  Trends;  War's  Hidden  Cost 
 2001-12-09T00:00:00Z,glocations,NEWYORKCITY,888,0.0,High  Impact 
 2001-12-08T00:00:00Z,glocations,EUROPE,2312,0.0,Europe's  Muslims  Seek  a  Path  Amid  Competing  Cultures 
 2001-12-07T00:00:00Z,glocations,NORTHERNIRELAND,553,0.0,Report  Says  Ulster  Force  Failed  to  Heed  Tip  Before  Fatal  Bombing 
 2001-12-07T00:00:00Z,glocations,EUROPE,747,0.0,Gingerly,  NATO  Plans  Broader  Role  For  Moscow 
 2001-12-07T00:00:00Z,glocations,NEWYORKCITY,91,0.0,World  Briefing  |  World:  Rights  Group  Criticizes  Terror  Laws 
 2001-12-06T00:00:00Z,glocations,GERMANY,1149,0.0,U.S.  Terror  Attacks  Galvanize  Europeans  to  Tighten  Laws 
 2001-12-06T00:00:00Z,glocations,NEWYORKCITY,1034,0.0,The  Market  For  Tragedy 
